Number,Status,Arrival,Departure,Count (nights),"Count (bed, nightly)",Requested category,Space category,Person count,Adults,Children
349213,Checked out,2023-08-24 21:08:28.466,2023-10-11 11:00:00.000,48,48,Comfort Double,Comfort Double,1,1,0
349215,Checked out,2023-08-24 17:15:09.415,2023-10-19 11:00:00.000,56,56,Comfort Double,Comfort Double,1,1,0
349212,Checked out,2023-08-24 21:18:23.049,2023-10-07 11:00:00.000,44,44,Comfort Double,Comfort Double,1,1,0
349230,Checked out,2023-08-27 14:53:39.853,2023-11-21 08:43:18.922,86,86,Comfort Double,Comfort Double,1,1,0
349231,Checked out,2023-08-27 10:43:44.740,2023-11-21 08:21:52.468,86,86,Comfort Double,Comfort Double,1,1,0
356621,Checked out,2023-08-27 18:15:44.096,2023-11-21 06:52:41.069,86,86,Comfort Double,Comfort Double,1,1,0
375168,Checked out,2023-08-29 18:50:16.895,2023-11-18 09:13:53.628,81,81,Comfort Double,Comfort Double,1,1,0
375451,Checked out,2023-08-29 21:22:19.195,2023-10-23 04:43:05.765,55,55,Comfort Double,Comfort Double,1,1,0
371942,Checked out,2023-09-20 09:36:36.475,2023-10-05 11:00:00.000,15,30,Comfort Double,Comfort Double,2,2,0
367888,Checked out,2023-09-24 15:24:19.576,2023-10-21 05:17:50.039,27,27,Comfort Double,Comfort Double,1,1,0
380153,Checked out,2023-09-24 19:28:45.555,2023-10-06 04:52:41.190,12,12,Comfort Double,Comfort Double,1,1,0
378410,Checked out,2023-09-25 08:46:02.036,2023-10-07 07:06:32.555,12,12,Comfort Double,Comfort Double,1,1,0
378462,Checked out,2023-09-25 08:49:01.224,2023-10-04 07:55:16.960,9,9,Comfort Double,Comfort Double,1,1,0
378411,Checked out,2023-09-25 08:52:59.946,2023-10-07 07:07:01.759,12,12,Comfort Double,Comfort Double,1,1,0
345926,Checked out,2023-09-25 22:41:58.526,2023-10-04 10:04:38.634,9,18,Comfort Double,Comfort Double,2,2,0
347627,Checked out,2023-09-27 13:14:10.820,2023-10-03 07:38:53.502,6,12,Comfort Double,Comfort Double,2,2,0
380617,Checked out,2023-09-27 16:59:54.327,2023-10-02 11:00:00.000,5,5,Comfort Twin,Comfort Twin,1,1,0
375064,Checked out,2023-09-28 18:11:09.605,2023-10-02 10:57:14.153,4,4,Comfort Double,Comfort Double,1,1,0
330394,Checked out,2023-09-28 10:07:06.679,2023-10-02 11:00:00.000,4,4,Comfort Double,Comfort Double,1,1,0
